student_id,course_code1,course_code2,course_code3,course_code4,course_code5,course_code6,course_code7,course_code8,course_code9,semester,academic_year
1HK24CS001,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS002,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS003,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS004,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS005,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS006,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS007,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS008,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS009,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS010,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS011,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS012,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS013,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS014,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS015,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS016,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS017,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS018,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS019,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS020,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS021,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS022,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
1HK24CS023,BCS401,BCS402,BCS403,BCSL404,BCS405A,BCS456C,BBOK407,BUHK408,NA,4,2025-2026
